更新时间,#genre#
20260519-23-52-54,url


freetv,#genre#
CCTV10,https://t.freetv.fun/live/cctv10-ke-jiao.m3u8$[BD]cctv10-科教
CCTV12,https://t.freetv.fun/live/cctv12-she-hui-yu-fa.m3u8$[BD]cctv12-社会与法
CCTV14,https://t.freetv.fun/live/cctv14-shao-er.m3u8$[BD]cctv14-少儿
CCTV15,https://t.freetv.fun/live/cctv15-yin-le.m3u8$[BD]cctv15-音乐
CCTV17,https://t.freetv.fun/live/cctv17.m3u8$[BD]cctv17
CCTV7,https://t.freetv.fun/live/cctv7-jun-nong.m3u8$[BD]cctv7-军农
CCTV8,https://t.freetv.fun/live/cctv8-dian-shi-ju.m3u8$[BD]cctv8-电视剧
CCTV9,https://t.freetv.fun/live/cctv9-ji-lu.m3u8$[BD]cctv9-纪录
CHC家庭影院,https://t.freetv.fun/live/chcjia-ting-ying-yuan.smil$[BD]chc家庭影院
cgtn,https://t.freetv.fun/live/cgtn-1.smil$[BD]cgtn
cgtn,https://t.freetv.fun/live/cgtn.m3u8$[BD]cgtn
东南卫视,https://t.freetv.fun/live/dong-nan-wei-shi.m3u8$[BD]东南卫视
东森超视,rtmp://f13h.mine.nu/sat/tv331$[HD]东森超视
中视,rtmp://f13h.mine.nu/sat/tv091$[HD]中视
兵团卫视,https://t.freetv.fun/live/bing-tuan-wei-shi.smil$[BD]兵团卫视
内蒙古卫视,https://t.freetv.fun/live/nei-meng-gu-wei-shi-1.smil$[HD]内蒙古卫视
内蒙古卫视,https://t.freetv.fun/live/nei-meng-gu-wei-shi.m3u8$[HD]内蒙古卫视
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi-gao-qing.smil$[BD]北京卫视高清
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi.m3u8$[BD]北京卫视
四川卫视高清,https://t.freetv.fun/live/si-chuan-wei-shi-gao-qing.smil$[BD]四川卫视高清
天津卫视高清,https://t.freetv.fun/live/tian-jin-wei-shi-gao-qing.smil$[BD]天津卫视高清
安徽卫视,https://t.freetv.fun/live/an-hui-wei-shi-gao-qing.smil$[BD]安徽卫视高清
安徽卫视,https://t.freetv.fun/live/an-hui-wei-shi.m3u8$[BD]安徽卫视
山东卫视,https://t.freetv.fun/live/shan-dong-wei-shi-gao-qing.smil$[BD]山东卫视高清
山东卫视,https://t.freetv.fun/live/shan-dong-wei-shi.m3u8$[BD]山东卫视
山西卫视,https://t.freetv.fun/live/shan-xi-wei-shi-1.smil$[BD]山西卫视
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-1.m3u8$[BD]广东体育高清
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-2.m3u8$[BD]广东体育高清
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-3.m3u8$[BD]广东体育高清
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-4.m3u8$[BD]广东体育高清
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-5.m3u8$[BD]广东体育高清
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-6.m3u8$[BD]广东体育高清
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing.m3u8$[BD]广东体育高清
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-gao-qing-1.m3u8$[BD]广东卫视高清
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-gao-qing-2.m3u8$[BD]广东卫视高清
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-gao-qing-3.m3u8$[BD]广东卫视高清
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-gao-qing-4.m3u8$[BD]广东卫视高清
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-gao-qing-5.smil$[BD]广东卫视高清
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-gao-qing.m3u8$[BD]广东卫视高清
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi.m3u8$[BD]广东卫视
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-1.m3u8$[BD]广东少儿高清
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-2.m3u8$[BD]广东少儿高清
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-3.m3u8$[BD]广东少儿高清
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-4.m3u8$[BD]广东少儿高清
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-5.m3u8$[BD]广东少儿高清
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-6.m3u8$[BD]广东少儿高清
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-7.m3u8$[BD]广东少儿高清
