更新时间,#genre#
20260514-23-44-25,url


freetv,#genre#
CCTV1,https://t.freetv.fun/live/cctv1-1.m3u8$[HD]cctv1
CCTV1,https://t.freetv.fun/live/cctv1.m3u8$[HD]cctv1
CCTV10,https://t.freetv.fun/live/cctv-10gao-qing.m3u8$[BD]cctv-10高清
CCTV10,https://t.freetv.fun/live/cctv-10ke-jiao.m3u8$[BD]cctv-10科教
CCTV10,https://t.freetv.fun/live/cctv10-ke-jiao.m3u8$[BD]cctv10-科教
CCTV11,https://t.freetv.fun/live/cctv-11gao-qing.m3u8$[BD]cctv-11高清
CCTV11,https://t.freetv.fun/live/cctv-11xi-qu.m3u8$[BD]cctv-11戏曲
CCTV11,https://t.freetv.fun/live/cctv11-1.m3u8$[HD]cctv11
CCTV11,https://t.freetv.fun/live/cctv11-xi-qu.m3u8$[BD]cctv11-戏曲
CCTV11,https://t.freetv.fun/live/cctv11.m3u8$[HD]cctv11
CCTV12,https://t.freetv.fun/live/cctv-12gao-qing.m3u8$[BD]cctv-12高清
CCTV12,https://t.freetv.fun/live/cctv-12she-hui-yu-fa.m3u8$[BD]cctv-12社会与法
CCTV13,https://t.freetv.fun/live/cctv-13.m3u8$[HD]cctv-13
CCTV13,https://t.freetv.fun/live/cctv13-1.m3u8$[HD]cctv13
CCTV13,https://t.freetv.fun/live/cctv13-xin-wen-1.m3u8$[BD]cctv13-新闻
CCTV13,https://t.freetv.fun/live/cctv13-xin-wen.m3u8$[BD]cctv13-新闻
CCTV13,https://t.freetv.fun/live/cctv13.m3u8$[HD]cctv13
CCTV14,https://t.freetv.fun/live/cctv14-shao-er.m3u8$[BD]cctv14-少儿
CCTV15,https://t.freetv.fun/live/cctv-15.m3u8$[HD]cctv-15
CCTV15,https://t.freetv.fun/live/cctv-15gao-qing.m3u8$[BD]cctv-15高清
CCTV15,https://t.freetv.fun/live/cctv-15yin-le.m3u8$[BD]cctv-15音乐
CCTV15,https://t.freetv.fun/live/cctv15-1.m3u8$[HD]cctv15
CCTV15,https://t.freetv.fun/live/cctv15.m3u8$[HD]cctv15
CCTV17,https://t.freetv.fun/live/cctv-17gao-qing.m3u8$[BD]cctv-17高清
CCTV2,https://t.freetv.fun/live/cctv2-cai-jing.m3u8$[BD]cctv2-财经
CCTV2,https://t.freetv.fun/live/cctv2.m3u8$[HD]cctv2
CCTV3,https://t.freetv.fun/live/cctv-3gao-qing.m3u8$[BD]cctv-3高清
CCTV3,https://t.freetv.fun/live/cctv3-zong-yi.m3u8$[BD]cctv3-综艺
CCTV4,https://t.freetv.fun/live/cctv-4-zhong-wen-guo-ji.m3u8$[BD]cctv-4_中文国际
CCTV4,https://t.freetv.fun/live/cctv-4.m3u8$[HD]cctv-4
CCTV4,https://t.freetv.fun/live/cctv-4gao-qing.m3u8$[BD]cctv-4高清
CCTV4,https://t.freetv.fun/live/cctv4.m3u8$[HD]cctv4
CCTV5,https://t.freetv.fun/live/cctv5-ti-yu.m3u8$[BD]cctv5-体育
CCTV6,https://t.freetv.fun/live/cctv-6gao-qing.m3u8$[BD]cctv-6高清
CCTV6,https://t.freetv.fun/live/cctv6-dian-ying.m3u8$[BD]cctv6-电影
CCTV7,https://t.freetv.fun/live/cctv-7gao-qing.m3u8$[BD]cctv-7高清
CCTV8,https://t.freetv.fun/live/cctv-8dian-shi-ju.m3u8$[BD]cctv-8电视剧
CCTV8,https://t.freetv.fun/live/cctv8-dian-shi-ju.m3u8$[BD]cctv8-电视剧
CCTV9,https://t.freetv.fun/live/cctv-9gao-qing.m3u8$[BD]cctv-9高清
CHC动作电影,https://t.freetv.fun/live/chcdong-zuo-dian-ying.m3u8$[BD]chc动作电影
CHC家庭影院,https://t.freetv.fun/live/chcjia-ting-ying-yuan-1.smil$[BD]chc家庭影院
CHC家庭影院,https://t.freetv.fun/live/chcjia-ting-ying-yuan.m3u8$[BD]chc家庭影院
CHC影迷电影,https://t.freetv.fun/live/chcgao-qing-dian-ying.m3u8$[BD]chc高清电影
cgtn,https://t.freetv.fun/live/cgtn.m3u8$[HD]cgtn
东南卫视,https://t.freetv.fun/live/dong-nan-wei-shi-1.m3u8$[BD]东南卫视
东南卫视,https://t.freetv.fun/live/dong-nan-wei-shi-2.m3u8$[BD]东南卫视
东南卫视,https://t.freetv.fun/live/dong-nan-wei-shi-3.m3u8$[HD]东南卫视
东南卫视,https://t.freetv.fun/live/dong-nan-wei-shi.m3u8$[HD]东南卫视
东方卫视,https://t.freetv.fun/live/dong-fang-wei-shi.m3u8$[BD]东方卫视
东森超视,rtmp://f13h.mine.nu/sat/tv331$[HD]东森超视
东莞新闻综合,https://t.freetv.fun/live/dong-wan-xin-wen-zong-he-1.m3u8$[BD]东莞新闻综合
东莞新闻综合,https://t.freetv.fun/live/dong-wan-xin-wen-zong-he.m3u8$[BD]东莞新闻综合
中视,rtmp://f13h.mine.nu/sat/tv091$[HD]中视
云南卫视,https://t.freetv.fun/live/yun-nan-wei-shi-1.m3u8$[BD]云南卫视
云南卫视,https://t.freetv.fun/live/yun-nan-wei-shi.m3u8$[BD]云南卫视
优漫卡通,https://t.freetv.fun/live/you-man-qia-tong.m3u8$[HD]优漫卡通
兵团卫视,https://t.freetv.fun/live/bing-tuan-wei-shi-1.m3u8$[BD]兵团卫视
内蒙古卫视,https://t.freetv.fun/live/nei-meng-gu-wei-shi-1.m3u8$[HD]内蒙古卫视
内蒙古卫视,https://t.freetv.fun/live/nei-meng-gu-wei-shi-2.m3u8$[HD]内蒙古卫视
内蒙古卫视,https://t.freetv.fun/live/nei-meng-gu-wei-shi.m3u8$[HD]内蒙古卫视
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi-1.m3u8$[HD]北京卫视
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi-2.m3u8$[BD]北京卫视
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi-3.m3u8$[BD]北京卫视
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi-4.m3u8$[HD]北京卫视
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi.m3u8$[BD]北京卫视
吉林卫视,https://t.freetv.fun/live/ji-lin-wei-shi-1.m3u8$[BD]吉林卫视
吉林卫视,https://t.freetv.fun/live/ji-lin-wei-shi-2.m3u8$[BD]吉林卫视
吉林卫视,https://t.freetv.fun/live/ji-lin-wei-shi-gao-qing.m3u8$[BD]吉林卫视高清
吉林卫视,https://t.freetv.fun/live/ji-lin-wei-shi.m3u8$[BD]吉林卫视
四川卫视,https://t.freetv.fun/live/si-chuan-wei-shi-1.m3u8$[HD]四川卫视
四川卫视,https://t.freetv.fun/live/si-chuan-wei-shi-2.m3u8$[BD]四川卫视
四川卫视,https://t.freetv.fun/live/si-chuan-wei-shi-3.m3u8$[BD]四川卫视
四川卫视,https://t.freetv.fun/live/si-chuan-wei-shi-4.m3u8$[HD]四川卫视
四川卫视,https://t.freetv.fun/live/si-chuan-wei-shi.m3u8$[BD]四川卫视
大湾区卫视,https://t.freetv.fun/live/da-wan-qu-wei-shi-1.m3u8$[BD]大湾区卫视
大湾区卫视,https://t.freetv.fun/live/da-wan-qu-wei-shi-2.m3u8$[BD]大湾区卫视
大湾区卫视,https://t.freetv.fun/live/da-wan-qu-wei-shi-3.m3u8$[BD]大湾区卫视
大湾区卫视,https://t.freetv.fun/live/da-wan-qu-wei-shi.m3u8$[BD]大湾区卫视
天津卫视,https://t.freetv.fun/live/tian-jin-wei-shi-1.m3u8$[BD]天津卫视
天津卫视,https://t.freetv.fun/live/tian-jin-wei-shi-2.m3u8$[BD]天津卫视
天津卫视,https://t.freetv.fun/live/tian-jin-wei-shi.m3u8$[BD]天津卫视
