更新时间,#genre#
20260608-23-56-26,url


freetv,#genre#
CCTV1,https://t.freetv.fun/live/cctv-1-1.m3u8$[HD]cctv-1
CCTV1,https://t.freetv.fun/live/cctv-1-4.m3u8$[HD]cctv-1
CCTV1,https://t.freetv.fun/live/cctv-1-5.m3u8$[BD]cctv-1
CCTV1,https://t.freetv.fun/live/cctv1-12.m3u8$[BD]cctv1
CCTV1,https://t.freetv.fun/live/cctv1-3.m3u8$[BD]cctv1
CCTV1,https://t.freetv.fun/live/cctv1-7.m3u8$[BD]cctv1
CCTV1,https://t.freetv.fun/live/cctv1-8.m3u8$[BD]cctv1
CCTV10,http://107.150.60.122/live/cctv10hd.m3u8$[BD]cctv-10hd
CCTV10,http://38.75.136.137:98/gslb/dsdqpub/cctv10hd.m3u8?auth=testpub$[BD]cctv-10hd
CCTV10,https://t.freetv.fun/live/cctv-10-6.m3u8$[BD]cctv-10
CCTV10,https://t.freetv.fun/live/cctv-10hd-2.m3u8$[BD]cctv-10hd
CCTV10,https://t.freetv.fun/live/cctv-10hd-3.m3u8$[BD]cctv-10hd
CCTV10,https://t.freetv.fun/live/cctv-10ke-jiao-13.m3u8$[BD]cctv-10科教
CCTV10,https://t.freetv.fun/live/cctv-10ke-jiao-5.m3u8$[BD]cctv-10科教
CCTV10,https://t.freetv.fun/live/cctv10-2.m3u8$[BD]cctv10
CCTV10,https://t.freetv.fun/live/cctv10.m3u8$[BD]cctv10
CCTV11,http://129.211.14.102:24445/cctv11.m3u8$[BD]cctv-11
CCTV11,http://129.211.14.102:25000/cctv11.m3u8$[BD]cctv-11
CCTV11,http://198.204.228.26/live/cctv11hd.m3u8$[BD]cctv-11hd
CCTV11,https://t.freetv.fun/live/cctv-11-3.m3u8$[HD]cctv-11
CCTV11,https://t.freetv.fun/live/cctv-11-5.m3u8$[BD]cctv-11
CCTV11,https://t.freetv.fun/live/cctv-11hd.m3u8$[BD]cctv-11hd
CCTV11,https://t.freetv.fun/live/cctv-11xi-qu-4.m3u8$[BD]cctv-11戏曲
